datum_tijd,levering,teruglevering,netto
2023-09-01,8.63,23.0,-14.370000000000001
2023-09-02,7.55,21.76,-14.209999999999999
2023-09-03,9.69,17.7,-8.01
2023-09-04,8.82,11.67,-2.85
2023-09-05,12.870000000000001,15.459999999999999,-2.59
2023-09-06,8.76,13.7,-4.94
2023-09-07,11.25,14.56,-3.3100000000000005
2023-09-08,9.84,11.42,-1.5799999999999996
2023-09-09,9.209999999999999,6.86,2.3499999999999996
2023-09-10,9.74,14.46,-4.72
2023-09-11,8.94,10.06,-1.1199999999999997
2023-09-12,7.79,16.73,-8.94
2023-09-13,10.81,10.02,0.7900000000000003
2023-09-14,8.66,6.24,2.42
2023-09-15,10.22,10.66,-0.4400000000000003
2023-09-16,10.700000000000001,15.85,-5.1499999999999995
2023-09-17,12.3,7.91,4.390000000000001
2023-09-18,9.43,1.19,8.24
2023-09-19,14.67,9.520000000000001,5.1499999999999995
2023-09-20,9.64,7.67,1.9700000000000004
2023-09-21,14.33,10.96,3.37
2023-09-22,8.39,16.39,-7.999999999999999
2023-09-23,12.56,0.38,12.18
2023-09-24,10.22,9.280000000000001,0.9400000000000001
2023-09-25,14.24,3.7,10.540000000000001
2023-09-26,12.61,2.44,10.17
2023-09-27,16.51,1.1,15.41
2023-09-28,13.23,6.73,6.5
2023-09-29,15.87,8.74,7.13
2023-09-30,12.68,7.97,4.710000000000001
